"Class","OldName","NewName","OldPath","NewPath"
"Beras_Gundukan","IMG_20260605_162410070_1_jpg.rf.IzO2Fqu0OblmljsQ4Vdq.jpg","Beras_Gundukan_000001.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_1_jpg.rf.IzO2Fqu0OblmljsQ4Vdq.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000001.jpg"
"Beras_Gundukan","IMG_20260605_162410070_11_jpg.rf.vnsVNH5tvz3evFS0qRiD.jpg","Beras_Gundukan_000002.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_11_jpg.rf.vnsVNH5tvz3evFS0qRiD.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000002.jpg"
"Beras_Gundukan","IMG_20260605_162410070_12_jpg.rf.sgjMbI4UdA5K6sOILLvI.jpg","Beras_Gundukan_000003.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_12_jpg.rf.sgjMbI4UdA5K6sOILLvI.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000003.jpg"
"Beras_Gundukan","IMG_20260605_162410070_13_jpg.rf.RUmzPvt3buhKcgx9vSd8.jpg","Beras_Gundukan_000004.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_13_jpg.rf.RUmzPvt3buhKcgx9vSd8.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000004.jpg"
"Beras_Gundukan","IMG_20260605_162410070_14_jpg.rf.tIMklu9HorNCSehV4y6M.jpg","Beras_Gundukan_000005.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_14_jpg.rf.tIMklu9HorNCSehV4y6M.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000005.jpg"
"Beras_Gundukan","IMG_20260605_162410070_15_jpg.rf.MosfI0cmPeZ5ARA7ovXq.jpg","Beras_Gundukan_000006.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_15_jpg.rf.MosfI0cmPeZ5ARA7ovXq.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000006.jpg"
"Beras_Gundukan","IMG_20260605_162410070_16_jpg.rf.lv8TjraWQYrzSYGBD6Tk.jpg","Beras_Gundukan_000007.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_16_jpg.rf.lv8TjraWQYrzSYGBD6Tk.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000007.jpg"
"Beras_Gundukan","IMG_20260605_162410070_17_jpg.rf.XU1xRAVQngdnaZqWJxkB.jpg","Beras_Gundukan_000008.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_17_jpg.rf.XU1xRAVQngdnaZqWJxkB.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000008.jpg"
"Beras_Gundukan","IMG_20260605_162410070_19_jpg.rf.YWF2V3En3truRI39QJKT.jpg","Beras_Gundukan_000009.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_19_jpg.rf.YWF2V3En3truRI39QJKT.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000009.jpg"
"Beras_Gundukan","IMG_20260605_162410070_22_jpg.rf.NNsWCmV1CdIh5oJfScF7.jpg","Beras_Gundukan_000010.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\IMG_20260605_162410070_22_jpg.rf.NNsWCmV1CdIh5oJfScF7.jpg","C:\Users\Yadie FR\Desktop\UAS_ML\dataset\Beras_Gundukan\Beras_Gundukan_000010.jpg"
